Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
2258,124,2258,"Solimine, Jaclyn","Team
Whriaway Racing Team","Team
Whriaway Racing Team","HALF
–","Finish Net
02:57:14","Finish Gun
02:58:35"
2259,125,2259,"Chang, Trillium","Team
–","Team
–","HALF
01:26:02","Finish Net
02:57:15","Finish Gun
03:00:25"
2268,126,2268,"Crain, Amy","Team
–","Team
–","HALF
01:26:01","Finish Net
02:57:18","Finish Gun
03:01:48"
2271,127,2271,"Mcginley, Caitlin","Team
–","Team
–","HALF
01:25:34","Finish Net
02:57:19","Finish Gun
02:57:56"
2272,128,2272,"Tan, Emilie","Team
–","Team
–","HALF
01:27:38","Finish Net
02:57:19","Finish Gun
03:01:22"
2279,129,2279,"Christopher, Maddy","Team
–","Team
–","HALF
01:27:02","Finish Net
02:57:21","Finish Gun
02:57:32"
2281,130,2281,"Shwayder, Elianna","Team
–","Team
–","HALF
01:23:56","Finish Net
02:57:21","Finish Gun
03:00:55"
2282,131,2282,"Quinlan, Amanda","Team
Whriaway Racing Team","Team
Whriaway Racing Team","HALF
01:26:38","Finish Net
02:57:21","Finish Gun
03:03:00"
2297,132,2297,"Boswell, Rachel","Team
–","Team
–","HALF
01:26:56","Finish Net
02:57:25","Finish Gun
02:59:59"
2308,133,2308,"Shvygin, Anna","Team
–","Team
–","HALF
01:28:15","Finish Net
02:57:29","Finish Gun
02:57:50"
2314,134,2314,"Jaffke, Erin","Team
–","Team
–","HALF
01:25:06","Finish Net
02:57:31","Finish Gun
02:58:52"
2323,135,2323,"Roberts, Lisa","Team
–","Team
–","HALF
01:28:12","Finish Net
02:57:33","Finish Gun
03:02:40"
2326,136,2326,"Maltais-Bilodeau, Camille","Team
–","Team
–","HALF
01:25:52","Finish Net
02:57:33","Finish Gun
03:04:37"
2329,137,2329,"Bugara, Grace","Team
–","Team
–","HALF
01:30:48","Finish Net
02:57:34","Finish Gun
03:04:32"
2358,138,2358,"Calderon-Cordero, Ana","Team
–","Team
–","HALF
01:27:21","Finish Net
02:57:41","Finish Gun
03:04:01"
2369,139,2369,"Cheff, Ashley","Team
–","Team
–","HALF
01:27:33","Finish Net
02:57:46","Finish Gun
03:02:17"
2421,140,2421,"Mcgroarty, Elizabeth","Team
–","Team
–","HALF
01:27:30","Finish Net
02:58:00","Finish Gun
03:02:29"
2424,141,2424,"Kiekow, Francieli","Team
–","Team
–","HALF
01:25:47","Finish Net
02:58:02","Finish Gun
03:02:57"
2449,142,2449,"Martins, Inês","Team
–","Team
–","HALF
01:27:36","Finish Net
02:58:08","Finish Gun
03:04:52"
2456,143,2456,"Cuffe, Aisling","Team
–","Team
–","HALF
01:26:32","Finish Net
02:58:12","Finish Gun
02:59:17"
2466,144,2466,"Sharp, Christina","Team
–","Team
–","HALF
01:24:46","Finish Net
02:58:15","Finish Gun
02:58:20"
2487,145,2487,"Zioto, Kathryn","Team
–","Team
–","HALF
01:28:39","Finish Net
02:58:20","Finish Gun
02:58:33"
2507,146,2507,"Villasenor, Sarah","Team
–","Team
–","HALF
01:27:15","Finish Net
02:58:25","Finish Gun
03:02:47"
2508,147,2508,"Bova, Carrie","Team
–","Team
–","HALF
01:28:24","Finish Net
02:58:25","Finish Gun
03:00:35"
2512,148,2512,"Orsted, Hailey","Team
–","Team
–","HALF
01:28:03","Finish Net
02:58:26","Finish Gun
02:58:33"
2524,149,2524,"Mcnair, Charlotte","Team
–","Team
–","HALF
01:28:03","Finish Net
02:58:28","Finish Gun
03:01:41"
2531,150,2531,"Spannaus, Michaela","Team
DWRunning","Team
DWRunning","HALF
01:26:58","Finish Net
02:58:31","Finish Gun
03:01:23"
2577,151,2577,"Neumann, Kenaia","Team
–","Team
–","HALF
01:29:47","Finish Net
02:58:43","Finish Gun
03:04:39"
2581,152,2581,"Emond, Sophie","Team
Boston Athletic Association","Team
Boston Athletic Association","HALF
01:26:49","Finish Net
02:58:43","Finish Gun
03:02:31"
2607,153,2607,"Thewes, Mika","Team
–","Team
–","HALF
01:28:42","Finish Net
02:58:49","Finish Gun
03:03:55"
2609,154,2609,"Pasminski, Andrea","Team
–","Team
–","HALF
01:28:26","Finish Net
02:58:49","Finish Gun
02:58:56"
2617,155,2617,"Steinman, Anna","Team
–","Team
–","HALF
01:23:17","Finish Net
02:58:52","Finish Gun
02:59:42"
2637,156,2637,"Kumer, Emma","Team
–","Team
–","HALF
01:27:43","Finish Net
02:58:56","Finish Gun
03:04:21"
2640,157,2640,"Plassche, Grace","Team
Central Park Track Club- Tracksmith","Team
Central Park Track Club- Tracksmith","HALF
01:29:59","Finish Net
02:58:57","Finish Gun
03:00:10"
2644,158,2644,"Caruso, Isabella","Team
–","Team
–","HALF
01:25:51","Finish Net
02:59:00","Finish Gun
03:00:28"
2651,159,2651,"Meyer, Caitie","Team
–","Team
–","HALF
01:27:56","Finish Net
02:59:02","Finish Gun
03:02:17"
